<button class="sort" onclick="sortTable(0)"><img class="sort" src="media/sort.png"></button>Sample	<button class="sort" onclick="sortTable(1)"><img class="sort" src="media/sort.png"></button>Class	<button class="sort" onclick="sortTable(2)"><img class="sort" src="media/sort.png"></button>Type	<button class="sort" onclick="sortTable(3)"><img class="sort" src="media/sort.png"></button>OS	<button class="sort" onclick="sortTable(4)"><img class="sort" src="media/sort.png"></button>T [K] 	<button class="sort" onclick="sortTable(5)"><img class="sort" src="media/sort.png"></button>IS [mm/s] 	&plusmn;	<button class="sort" onclick="sortTable(7)"><img class="sort" src="media/sort.png"></button>QS [mm/s]	&plusmn;	<button class="sort" onclick="sortTable(9)"><img class="sort" src="media/sort.png"></button>B<sub>hf</sub> [T]	&plusmn;	Site<sub>(Total)</sub>	Model	Reference
Pyrite	Sulphides	S	2	295	0.33	0.01	0.61	0.01			1<sub>(1)</sub>	Unkn	<a href="https://www.sciencedirect.com/science/article/pii/002219026980299X" target="_blank">Morice J. A. et al. 1969</a>
Marcasite	Sulphides	S	2	295	0.29	0.01	0.5	0.01			1<sub>(1)</sub>	Unkn	<a href="https://www.sciencedirect.com/science/article/pii/002219026980299X" target="_blank">Morice J. A. et al. 1969</a>
Pyrrhotite	Sulphides	S	2	295	0.78	0.06	0		30.4	0.5	1<sub>(3)</sub>	Unkn	<a href="https://www.sciencedirect.com/science/article/pii/002219026980299X" target="_blank">Morice J. A. et al. 1969</a>
Pyrrhotite	Sulphides	S	2	295	0.78	0.06	0.16	0.06	25.3	0.5	2<sub>(3)</sub>	Unkn	<a href="https://www.sciencedirect.com/science/article/pii/002219026980299X" target="_blank">Morice J. A. et al. 1969</a>
Pyrrhotite	Sulphides	S	2	295	0.75	0.06	0.23	0.06	22.8	0.5	3<sub>(3)</sub>	Unkn	<a href="https://www.sciencedirect.com/science/article/pii/002219026980299X" target="_blank">Morice J. A. et al. 1969</a>
Mackinawite	Sulphides	S	2	295	0.65	0.04	0.09	0.06	29.8	0.5	1<sub>(3)</sub>	Unkn	<a href="https://www.sciencedirect.com/science/article/pii/002219026980299X" target="_blank">Morice J. A. et al. 1969</a>
Mackinawite	Sulphides	S	2	295	0.59	0.04	0.06	0.06	26.2	0.5	2<sub>(3)</sub>	Unkn	<a href="https://www.sciencedirect.com/science/article/pii/002219026980299X" target="_blank">Morice J. A. et al. 1969</a>
Mackinawite	Sulphides	S	2	295	0.62	0.04	0.09	0.06	22.8	0.5	3<sub>(3)</sub>	Unkn	<a href="https://www.sciencedirect.com/science/article/pii/002219026980299X" target="_blank">Morice J. A. et al. 1969</a>
Greigite	Sulphides	S		295	0.39	0.04	0		29.7	0.5	1<sub>(3)</sub>	Unkn	<a href="https://www.sciencedirect.com/science/article/pii/002219026980299X" target="_blank">Morice J. A. et al. 1969</a>
Greigite	Sulphides	S		295	0.28	0.02	0.48	0.02	0		2<sub>(3)</sub>	Unkn	<a href="https://www.sciencedirect.com/science/article/pii/002219026980299X" target="_blank">Morice J. A. et al. 1969</a>
Greigite	Sulphides	S		295	0.31	0.02	0.55	0.02	0		3<sub>(3)</sub>	Unkn	<a href="https://www.sciencedirect.com/science/article/pii/002219026980299X" target="_blank">Morice J. A. et al. 1969</a>
Lepidocrocite	Hydroxides and Oxides containing hydroxyl	S	3	4.2	0.49		0.03		43.5		1<sub>(1)</sub>	VBF	<a href="https://www.sciencedirect.com/science/article/pii/S0016703717305380" target="_blank">Wan Moli et al. 2017</a>
Goethite	Hydroxides and Oxides containing hydroxyl	S	3	4.2	0.48		-0.11		50.5		1<sub>(1)</sub>	VBF	<a href="https://www.sciencedirect.com/science/article/pii/S0016703717305380" target="_blank">Wan Moli et al. 2017</a>
FeS<sub>x</sub>		S		4.2	0.48		-0.02		27.8		1<sub>(1)</sub>	VBF	<a href="https://www.sciencedirect.com/science/article/pii/S0016703717305380" target="_blank">Wan Moli et al. 2017</a>
Greigite tetra	Sulphides	S	3	4.2	0.37		0		30.4		1<sub>(2)</sub>	VBF	<a href="https://www.sciencedirect.com/science/article/pii/S0016703717305380" target="_blank">Wan Moli et al. 2017</a>
Greigite oct	Sulphides	S	2.5	4.2	0.71		-0.015		32		2<sub>(2)</sub>	VBF	<a href="https://www.sciencedirect.com/science/article/pii/S0016703717305380" target="_blank">Wan Moli et al. 2017</a>
Pyrite	Sulphides	S	2	4.2	0.42		0.6				1<sub>(1)</sub>	VBF	<a href="https://www.sciencedirect.com/science/article/pii/S0016703717305380" target="_blank">Wan Moli et al. 2017</a>
Lepidocrocite	Hydroxides and Oxides containing hydroxyl	B	3	4.5	0.5		0.02		43.8			VBF	<a href="http://www.sciencedirect.com/science/article/pii/S0016703710001778?via%3Dihub" target="_blank">Larese-Casanova et al. 2010</a>
Lepidocrocite	Hydroxides and Oxides containing hydroxyl	B	3	4.5	0.5		0.02		43.5			VBF	<a href="http://www.sciencedirect.com/science/article/pii/S0016703710001778?via%3Dihub" target="_blank">Larese-Casanova et al. 2010</a>
Lepidocrocite	Hydroxides and Oxides containing hydroxyl	B	3	4.5	0.5		0.02		42.9			VBF	<a href="http://www.sciencedirect.com/science/article/pii/S0016703710001778?via%3Dihub" target="_blank">Larese-Casanova et al. 2010</a>
Lepidocrocite	Hydroxides and Oxides containing hydroxyl	B	3	4.5	0.5		0.02		43.2			VBF	<a href="http://www.sciencedirect.com/science/article/pii/S0016703710001778?via%3Dihub" target="_blank">Larese-Casanova et al. 2010</a>
